"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"486","DEN","DEN vs. SAS",2021-10-22,"W",240,102,44,86,51.2,9,30,30,5,8,62.5,8,33,41,26,10,2,21,21,6,"H"
"487","OKC","OKC @ HOU",2021-10-22,"L",240,91,34,91,37.4,14,43,32.6,9,16,56.3,8,31,39,22,9,4,19,21,-33,"A"
"488","HOU","HOU vs. OKC",2021-10-22,"W",240,124,48,95,50.5,17,38,44.7,11,14,78.6,10,44,54,29,12,10,17,18,33,"H"
"489","NOP","NOP @ CHI",2021-10-22,"L",240,112,42,87,48.3,15,29,51.7,13,16,81.3,9,33,42,26,7,5,17,20,-16,"A"
"490","CHI","CHI vs. NOP",2021-10-22,"W",240,128,47,89,52.8,14,28,50,20,25,80,11,35,46,32,9,7,14,14,16,"H"
"491","BKN","BKN @ PHI",2021-10-22,"W",240,114,41,88,46.6,12,38,31.6,20,24,83.3,11,36,47,26,6,6,13,16,5,"A"
"492","PHI","PHI vs. BKN",2021-10-22,"L",240,109,43,91,47.3,14,36,38.9,9,11,81.8,5,30,35,17,8,9,10,21,-5,"H"
"493","TOR","TOR @ BOS",2021-10-22,"W",240,115,42,100,42,10,35,28.6,21,21,100,21,39,60,22,16,2,12,13,32,"A"
"494","BOS","BOS vs. TOR",2021-10-22,"L",240,83,32,82,39,11,34,32.4,8,11,72.7,10,32,42,19,6,12,25,19,-32,"H"
"495","WAS","WAS vs. IND",2021-10-22,"W",265,135,49,94,52.1,19,38,50,18,19,94.7,6,32,38,24,5,6,9,21,1,"H"
"496","IND","IND @ WAS",2021-10-22,"L",265,134,52,97,53.6,15,34,44.1,15,20,75,7,35,42,28,5,6,12,22,-1,"A"
"497","NYK","NYK @ ORL",2021-10-22,"W",240,121,44,88,50,24,54,44.4,9,17,52.9,6,32,38,34,10,4,11,19,25,"A"
"498","ORL","ORL vs. NYK",2021-10-22,"L",240,96,33,83,39.8,17,43,39.5,13,15,86.7,9,37,46,24,5,3,19,18,-25,"H"
"499","CHA","CHA @ CLE",2021-10-22,"W",240,123,48,91,52.7,13,32,40.6,14,17,82.4,11,35,46,32,13,1,18,16,11,"A"
"500","CLE","CLE vs. CHA",2021-10-22,"L",240,112,43,84,51.2,9,31,29,17,20,85,7,29,36,26,9,3,19,15,-11,"H"
"501","LAC","LAC @ GSW",2021-10-21,"L",240,113,42,96,43.8,14,40,35,15,21,71.4,8,31,39,24,9,2,7,25,-2,"A"
"502","GSW","GSW vs. LAC",2021-10-21,"W",240,115,43,83,51.8,15,31,48.4,14,22,63.6,10,43,53,27,5,4,21,20,2,"H"
"503","MIA","MIA vs. MIL",2021-10-21,"W",240,137,51,96,53.1,15,35,42.9,20,31,64.5,11,47,58,28,8,2,11,26,42,"H"
"504","MIL","MIL @ MIA",2021-10-21,"L",240,95,32,84,38.1,12,42,28.6,19,29,65.5,5,33,38,19,6,0,15,26,-42,"A"
"505","DAL","DAL @ ATL",2021-10-21,"L",240,87,31,93,33.3,13,43,30.2,12,13,92.3,10,40,50,16,7,3,15,21,-26,"A"
"506","ATL","ATL vs. DAL",2021-10-21,"W",240,113,45,94,47.9,15,35,42.9,8,9,88.9,6,49,55,31,8,9,13,16,26,"H"
"507","UTA","UTA vs. OKC",2021-10-20,"W",240,107,40,91,44,14,47,29.8,13,15,86.7,12,41,53,18,6,5,10,19,21,"H"
"508","OKC","OKC @ UTA",2021-10-20,"L",240,86,34,91,37.4,7,35,20,11,18,61.1,15,35,50,19,4,2,15,15,-21,"A"
"509","POR","POR vs. SAC",2021-10-20,"L",240,121,45,93,48.4,12,35,34.3,19,22,86.4,9,40,49,25,5,5,13,22,-3,"H"
"510","SAC","SAC @ POR",2021-10-20,"W",240,124,42,92,45.7,17,41,41.5,23,29,79.3,7,36,43,24,6,4,10,22,3,"A"
"511","DEN","DEN @ PHX",2021-10-20,"W",240,110,44,83,53,17,39,43.6,5,9,55.6,6,40,46,25,9,1,19,20,12,"A"
"512","PHX","PHX vs. DEN",2021-10-20,"L",240,98,36,87,41.4,14,37,37.8,12,17,70.6,11,34,45,23,9,3,18,18,-12,"H"
"513","SAS","SAS vs. ORL",2021-10-20,"W",240,123,49,98,50,13,30,43.3,12,18,66.7,13,30,43,32,8,3,8,22,26,"H"
"514","ORL","ORL @ SAS",2021-10-20,"L",240,97,35,86,40.7,9,29,31,18,23,78.3,13,31,44,17,6,6,16,20,-26,"A"
"515","BOS","BOS @ NYK",2021-10-20,"L",290,134,48,117,41,21,57,36.8,17,23,73.9,15,41,56,34,13,9,18,24,-4,"A"
"516","NYK","NYK vs. BOS",2021-10-20,"W",290,138,51,105,48.6,17,45,37.8,19,27,70.4,7,48,55,27,9,10,19,22,4,"H"
"517","HOU","HOU @ MIN",2021-10-20,"L",240,106,40,88,45.5,11,33,33.3,15,22,68.2,12,29,41,21,13,3,24,25,-18,"A"
"518","MIN","MIN vs. HOU",2021-10-20,"W",240,124,42,87,48.3,16,38,42.1,24,31,77.4,13,33,46,26,18,12,18,22,18,"H"
"519","CLE","CLE @ MEM",2021-10-20,"L",240,121,47,93,50.5,14,38,36.8,13,18,72.2,7,29,36,38,6,5,11,17,-11,"A"
"520","MEM","MEM vs. CLE",2021-10-20,"W",240,132,53,100,53,14,33,42.4,12,12,100,13,40,53,28,8,8,12,15,11,"H"
"521","PHI","PHI @ NOP",2021-10-20,"W",240,117,44,85,51.8,13,25,52,16,20,80,6,41,47,24,9,5,13,11,20,"A"
"522","NOP","NOP vs. PHI",2021-10-20,"L",240,97,39,93,41.9,13,30,43.3,6,9,66.7,10,34,44,28,5,6,14,16,-20,"H"
"523","TOR","TOR vs. WAS",2021-10-20,"L",240,83,30,97,30.9,7,34,20.6,16,22,72.7,19,35,54,14,10,4,19,21,-15,"H"
"524","WAS","WAS @ TOR",2021-10-20,"W",240,98,36,81,44.4,5,27,18.5,21,26,80.8,7,44,51,20,14,8,22,17,15,"A"
"525","CHI","CHI @ DET",2021-10-20,"W",240,94,37,86,43,7,23,30.4,13,15,86.7,9,39,48,18,8,5,17,19,6,"A"
"526","DET","DET vs. CHI",2021-10-20,"L",240,88,36,90,40,6,28,21.4,10,13,76.9,11,36,47,17,7,5,17,16,-6,"H"
"527","IND","IND @ CHA",2021-10-20,"L",240,122,42,90,46.7,17,47,36.2,21,24,87.5,8,43,51,29,2,10,17,24,-1,"A"
"528","CHA","CHA vs. IND",2021-10-20,"W",240,123,46,107,43,13,31,41.9,18,27,66.7,12,34,46,29,9,5,8,21,1,"H"
"529","MIL","MIL vs. BKN",2021-10-19,"W",240,127,48,105,45.7,17,45,37.8,14,18,77.8,13,41,54,25,8,9,8,19,23,"H"
"530","BKN","BKN @ MIL",2021-10-19,"L",240,104,37,84,44,17,32,53.1,13,23,56.5,5,39,44,19,3,9,13,17,-23,"A"
"531","LAL","LAL vs. GSW",2021-10-19,"L",240,114,45,95,47.4,15,42,35.7,9,19,47.4,5,40,45,21,7,4,18,25,-7,"H"
"532","GSW","GSW @ LAL",2021-10-19,"W",240,121,41,93,44.1,14,39,35.9,25,30,83.3,9,41,50,30,9,2,17,18,7,"A"
