"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"389","MIA","MIA vs. CHA",2021-10-29,"W",240,114,43,91,47.3,9,35,25.7,19,19,100,16,44,60,23,6,3,18,20,15,"H"
"390","CHA","CHA @ MIA",2021-10-29,"L",240,99,35,90,38.9,13,37,35.1,16,22,72.7,11,26,37,21,8,6,11,17,-15,"A"
"391","ORL","ORL @ TOR",2021-10-29,"L",240,109,41,87,47.1,16,34,47.1,11,16,68.8,12,34,46,24,1,5,17,24,-1,"A"
"392","TOR","TOR vs. ORL",2021-10-29,"W",240,110,43,86,50,9,30,30,15,22,68.2,9,31,40,18,11,2,8,18,1,"H"
"393","GSW","GSW vs. MEM",2021-10-28,"L",265,101,39,90,43.3,14,40,35,9,12,75,7,41,48,29,8,7,23,17,-3,"H"
"394","MEM","MEM @ GSW",2021-10-28,"W",265,104,39,97,40.2,12,48,25,14,14,100,10,41,51,25,17,9,18,14,3,"A"
"395","SAS","SAS @ DAL",2021-10-28,"L",240,99,39,88,44.3,12,30,40,9,15,60,11,37,48,21,6,11,15,16,-5,"A"
"396","DAL","DAL vs. SAS",2021-10-28,"W",240,104,41,89,46.1,18,45,40,4,13,30.8,9,36,45,18,4,7,13,19,5,"H"
"397","CHI","CHI vs. NYK",2021-10-28,"L",240,103,36,84,42.9,11,32,34.4,20,22,90.9,5,32,37,25,6,5,7,18,-1,"H"
"398","NYK","NYK @ CHI",2021-10-28,"W",240,104,39,85,45.9,11,29,37.9,15,20,75,11,38,49,16,5,7,13,21,1,"A"
"399","UTA","UTA @ HOU",2021-10-28,"W",240,122,41,85,48.2,16,46,34.8,24,30,80,10,48,58,24,8,4,20,23,31,"A"
"400","HOU","HOU vs. UTA",2021-10-28,"L",240,91,31,95,32.6,9,44,20.5,20,23,87,13,28,41,15,8,3,11,24,-31,"H"
"401","DET","DET @ PHI",2021-10-28,"L",240,102,35,86,40.7,13,39,33.3,19,27,70.4,10,27,37,22,11,4,14,22,-8,"A"
